Month,Monthly Income,Rent,Insurance,Groceries,Entertainment,Savings Goal,Actual Savings,Total Expenses,Cumulative Savings
1,40955.0,1500,300,621,359,21000,20583.0,18772,20583
2,41485.0,1500,300,622,322,21000,20718.0,20267,41201
3,41144.0,1500,300,686,406,21000,20410.0,20734,61611
4,40648.0,1500,300,664,364,21000,20197.0,20997,81808
5,40693.0,1500,300,672,394,21000,20497.0,20453,102305
6,40588.0,1500,320,709,265,21000,20182.0,21085,122487
7,40416.0,1500,300,621,308,22000,20016.0,21200,142503
8,40904.0,1500,320,679,342,22000,20364.0,20488,162867
9,41424.0,1500,300,653,361,22000,21003.0,20060,183870
10,40519.0,1500,320,746,355,22000,20185.0,20840,204055
11,40928.0,1500,320,648,372,22000,20448.0,20640,224503
12,41676.0,1500,320,646,387,22000,21119.0,20050,245622
13,41016.0,1500,300,682,337,22000,20480.0,20699,266101
14,41157.0,1500,320,719,342,22000,20368.0,21027,286469
15,41433.0,1500,320,667,386,22000,20826.0,20339,307295
16,41255.0,1500,300,676,387,22000,20678.0,20345,327973
17,40816.0,1500,320,687,326,22000,20146.0,20978,348119
18,40830.0,1500,320,668,374,22000,20338.0,20624,368456
19,40804.0,1500,300,638,379,22000,20307.0,20580,388762
20,40824.0,1500,300,685,400,22000,20531.0,20408,409293
21,40741.0,1500,320,682,337,22000,20405.0,20787,429698
22,41547.0,1500,300,693,396,22000,21063.0,20415,450761
23,41067.0,1500,320,660,354,22000,20623.0,20710,471384
24,41409.0,1500,320,669,358,22000,20864.0,20466,492248
